Longitude,Latitude,Chl a Dec-Mar
-115.5,-43,0.13
-108.5,-44,0.13
-113.5,-43,0.1301
-83.5,-42,0.1301
-141.5,-43,0.1302
-164.5,-40.5,0.1303
-135.5,-43,0.1303
-91.5,-51.5,0.1303
-119.5,-42,0.1304
-84.5,-44,0.1304
-163.5,-40.5,0.1305
-107.5,-47,0.1305
-92.5,-63,0.1305
-86.5,-49.5,0.1305
-105.5,-46,0.1306
-86.5,-50,0.1306
-127.5,-42,0.1308
-122.5,-41.5,0.1308
-93.5,-51.5,0.1309
-86.5,-51,0.1309
-142.5,-42.5,0.131
-110.5,-43.5,0.131
-107.5,-46.5,0.131
-106.5,-45.5,0.131
-98.5,-50.5,0.131
-85.5,-49,0.131
-106.5,-47.5,0.1314
-128.5,-43.5,0.1316
-109.5,-43.5,0.1316
-89.5,-51.5,0.1316
-168.5,-40.5,0.1317
-135.5,-45,0.1317
-134.5,-45,0.1317
-137.5,-43.5,0.1318
-135.5,-43.5,0.1318
-151.5,-41.5,0.1319
-131.5,-43.5,0.1319
-125.5,-44,0.1319
-87.5,-52,0.132
-83.5,-43,0.132
-136.5,-43.5,0.1321
-134.5,-44.5,0.1322
-128.5,-43,0.1322
-106.5,-46.5,0.1322
-84.5,-47.5,0.1322
-149.5,-42,0.1323
-111.5,-43,0.1325
-87.5,-64,0.1325
-108.5,-46.5,0.1326
-117.5,-42.5,0.1327
-103.5,-49,0.1327
-116.5,-43,0.1328
-104.5,-48,0.1328
-64.5,-61,0.1328
-65.5,-61,0.1329
-125.5,-42.5,0.133
-88.5,-64.5,0.133
-152.5,-41.5,0.1331
-125.5,-44.5,0.1331
-116.5,-42.5,0.1331
-102.5,-49,0.1331
-90.5,-51.5,0.1331
-64.5,-60,0.1331
-130.5,-44,0.1332
-115.5,-43.5,0.1332
-83.5,-42.5,0.1332
-109.5,-44,0.1333
-94.5,-51.5,0.1333
-65.5,-61.5,0.1334
-107.5,-46,0.1335
-130.5,-42.5,0.1336
-108.5,-46,0.1336
-99.5,-50.5,0.1336
-95.5,-51,0.1336
-127.5,-44.5,0.1337
-123.5,-42,0.1337
-120.5,-42.5,0.1337
-107.5,-45.5,0.1337
-136.5,-44,0.1338
-129.5,-43.5,0.1338
-100.5,-50,0.1338
-144.5,-42,0.1339
-116.5,-43.5,0.1339
-146.5,-42.5,0.134
-121.5,-42,0.134
-147.5,-42.5,0.1341
-125.5,-43.5,0.1341
-108.5,-44.5,0.1341
-110.5,-44,0.1342
-145.5,-42.5,0.1343
-129.5,-44.5,0.1343
-109.5,-44.5,0.1343
-107.5,-47.5,0.1343
-106.5,-46,0.1343
-133.5,-45,0.1344
-86.5,-51.5,0.1344
135.5,-54.5,0.1344
-141.5,-43.5,0.1345
-84.5,-48.5,0.1345
-128.5,-45,0.1346
-125.5,-43,0.1346
-88.5,-64,0.1346
-133.5,-44.5,0.1347
-126.5,-44.5,0.1347
-153.5,-41.5,0.1348
-129.5,-43,0.1348
-124.5,-44,0.1349
-110.5,-44.5,0.1349
-134.5,-45.5,0.135
-124.5,-44.5,0.135
-124.5,-42.5,0.135
-118.5,-42.5,0.135
-109.5,-45.5,0.135
-84.5,-48,0.135
-134.5,-43.5,0.1351
-127.5,-44,0.1351
-140.5,-43.5,0.1352
-136.5,-45,0.1352
-119.5,-42.5,0.1352
-142.5,-43,0.1353
-127.5,-45,0.1353
-127.5,-42.5,0.1353
-131.5,-44,0.1354
-126.5,-44,0.1354
-97.5,-51,0.1354
-87.5,-64.5,0.1354
-88.5,-52,0.1355
-82.5,-41,0.1355
-138.5,-44,0.1356
-136.5,-44.5,0.1356
-134.5,-44,0.1356
-127.5,-43.5,0.1357
-126.5,-45,0.1357
-109.5,-45,0.1357
-157.5,-41.5,0.1358
-133.5,-43,0.1358
-104.5,-48.5,0.1358
-98.5,-51,0.1358
-133.5,-45.5,0.1359
-130.5,-44.5,0.1359
-114.5,-43.5,0.1359
135.5,-54,0.136
-89.5,-64.5,0.1361
-150.5,-42,0.1362
-139.5,-44,0.1362
-106.5,-48,0.1362
-85.5,-50,0.1362
-82.5,-40,0.1362
-64.5,-59.5,0.1362
-110.5,-45,0.1363
-102.5,-49.5,0.1363
-94.5,-64,0.1364
136.5,-54.5,0.1364
-84.5,-64,0.1365
-83.5,-46.5,0.1365
136.5,-54,0.1365
-131.5,-44.5,0.1366
-123.5,-42.5,0.1366
-109.5,-46,0.1366
-105.5,-48,0.1366
-124.5,-43.5,0.1367
-108.5,-47,0.1367
-82.5,-40.5,0.1367
-135.5,-45.5,0.1368
-86.5,-64,0.1369
-86.5,-52,0.1369
-143.5,-42.5,0.137
-127.5,-43,0.137
-111.5,-43.5,0.137
137.5,-53.5,0.137
138.5,-54,0.137
-166.5,-41,0.1371
-137.5,-44,0.1371
-132.5,-45,0.1371
-124.5,-43,0.1371
-117.5,-44.5,0.1371
-100.5,-50.5,0.1372
-108.5,-45,0.1373
-133.5,-44,0.1374
-95.5,-51.5,0.1374
-85.5,-64,0.1374
-82.5,-41.5,0.1375
-126.5,-43.5,0.1376
-153.5,-42,0.1377
-108.5,-45.5,0.1377
-104.5,-49,0.1377
-131.5,-45,0.1378
-130.5,-43.5,0.1378
-158.5,-41.5,0.1379
-110.5,-45.5,0.1379
-90.5,-52,0.1379
-156.5,-42,0.138
-126.5,-42.5,0.138
-136.5,-45.5,0.1381
-132.5,-44,0.1381
-111.5,-44,0.1381
-92.5,-63.5,0.1381
-151.5,-42,0.1382
-121.5,-42.5,0.1382
-125.5,-45,0.1383
-92.5,-52,0.1383
-155.5,-42,0.1385
-96.5,-64,0.1385
-83.5,-64,0.1385
-82.5,-42,0.1385
137.5,-54,0.1385
-148.5,-42.5,0.1386
-126.5,-43,0.1387
-96.5,-51,0.1387
-85.5,-49.5,0.1387
134.5,-54,0.1387
138.5,-53.5,0.1387
-110.5,-46,0.1388
-93.5,-63.5,0.1388
-89.5,-64,0.1388
-83.5,-47,0.1388
-160.5,-41,0.1389
-97.5,-64,0.1389
-85.5,-51.5,0.1389
-85.5,-51,0.1389
-132.5,-44.5,0.139
137.5,-54.5,0.139
-132.5,-45.5,0.1391
-91.5,-63,0.1391
-107.5,-48,0.1392
